Stripped Text,Original quantifier
medicines slow down immune system.,some
people own travel booster seats.,some
oils reach a point when heat destroys their nutrients.,all
living issues need meals to survive.,all
taxis have meters.,all
kafanas feature live music performances.,most
dogs love enjoying fresh air while camping with their family.,most
people think of having their wisdom teeth removed as a rite of passage.,most
root vegetable are bi annual plants. first year plant grows from seed and creates a root.,most
couples sit down together in evening and talk about how their day went.,most
gas cars only have a 400 mile range.,most
politicians are sociopaths.,most
pets require regular veterinary care.,all
animals seem to prefer to eat prey head first.,most
doctors advise women to take multivitamins to make up for lack of certain vitamins in their body.,most
dog owners get their dog to lie down by simply lowering their hand or pointing towards floor.,some
people take theanine supplements to treat anxiety and depression.,some
people who are couch-surfing don’t think of themselves as homeless.,most
life forms produce toxins.,all
cats have their minds firmly set on animal foods.,most
women in porn (and in mainstream Hollywood films) have breast implants.,most
popular vegetarian foods are nutritious but high in calories.,some
crimes carry with them possibility of jail or prison sentences.,all
smartphones come with a qr code scanner.,all
people use Internet to spread hate and violent extremism.,some
Internet browsers contain controls for managing cookies.,some
street robberies occur in urban areas.,most
people think of trusts as something appropriate only for a wealthy family or charitable foundation.,most
power comes from peoples’ control of their monetary wealth.,all
medicines have side effects.,all
humans outside of Africa have 1.5-2-3% Neanderthal genes.,all
strobe lights have infrared covers and lenses.,some
"""white"" Americans have at least some African DNA in them.",most
earthquakes occur at plate boundaries.,most
breast implants have an outer pliable envelope (or shell).,all
men and women still have thick manes of pubic hair in their nether regions.,most
people don’t eat enough fruits and vegetables.,most
bacteria complete chemical reactions as part of life process.,all
fish benefit from vitamins and supplements added to their foods.,all
herbicides have both pre- and post-emergence activity.,some
people experience subtle symptoms of lung cancer during early stages of disease.,some
allergic reactions are emergencies.,some
beverages contain calories.,most
high school students have a tendency to fill out an application for a food services position.,most
trees survive by putting together water and carbon dioxide with sunlight.,all
gemstones have a natural tendency to split along structural planes contained within crystal.,some
asexual people do enjoy self-acts.,some
high altitude rivers are massive canyons.,most
democratic nations are capitalist to a greater or lesser extent.,all
food has bugs in it.,all
wheel drive enhances stability in unpredictable circumstances.,all
rumen bacteria are capable of detoxifying both forms of DHP.,some
workers’ compensation and motor vehicle insurance carriers cover chiropractic services for treatment of injuries.,all
people like solitude.,some
diesel engines use fuel injection by design.,all
pagan traditions have source materials.,most
people think of real estate agents as people who sell them houses.,most
experiences have significance.,all
people clench their jaw and grind their teeth at some point during their life.,most
"apple trees have a requirement for a variable amount of ""chilling hours"".",all
retinal diseases don’t have symptoms in their early stages.,most
"plants have ""perfect"" flowers with both male and female parts.",some
dogs don't care about TVs unless they're making animal noises.,most
Lilly Pillys attract birdlife.,all
computer mistakes are ultimately are human mistakes.,all
pre shredded cheeses contain chemical stabilizers to prevent caking.,most
adult dogs need a great deal of space.,some
bear sprays are incredibly flammable.,some
aquatic plants need a lot of sun.,most
hamsters of genus Cricetulus have more inflamed auditory bullae.,all
falls happen when people try to extend their reach outside of a safe working area.,most
people perceive angel numbers as a sign of bad luck.,some
sociopaths have a great deal of testosterone.,all
people on Okinawa have Chinese in their family tree.,most
successful people focus on excellence.,all
ant farm kits include diggable sand.,some
chemical peeling agents have natural origins.,most
antipsychotic medications are available as an injection.,some
mammals don't migrate.,most
toenail fungal infections come from dermatophytic fungi.,most
undocumented workers have fake social security numbers.,most
corn hybrids planted in U.S. contain one or more transgenic traits for weed or insect management.,most
plants need bright sunshine.,some
religions have a political dimension.,all
business owners play a role in scheduling employees and hiring for open positions.,some
addicts are men.,most
whiteflies on trees have limited host ranges.,most
gardeners use a powder called diatomaceous earth sprinkled on and around plants and walkways to discourage ants.,some
objects give off radiation (emissivity).,all
people are highly allergic to certain insect bites or stings.,some
creatures are capable of feeling pain.,all
Asians do not speak English.,most
Leos love titles.,all
internal combustion engines use a series of small explosions to create mechanical energy.,all
Minnesotans are familiar with workers' compensation: a no-fault system under state law in which employers carry insurance coverage for employee work-related injury.,most
medications cause hair dryness.,some
men naturally hate one another.,all
wireless baby monitors produce non-ionizing radiation (NIR).,all
developing nations have insane wealth gaps.,most
warm-blooded animals need to release excess body heat.,all
metal materials such as cast iron and carbon steel are prone to rust and corrosion when exposed to extremely high and low temperatures longer.,most
modern firetube boilers have cylindrical outer shells with a small round combustion chamber located inside bottom of shell.,most
people with hypothyroidism are zinc deficient.,most
societies are based on rules to protect pregnant women and young children.,all
ships have water slides.,some
people think of stress simply as worry.,most
lizards attract attention for their bizarre body shapes.,some
sleep disorders are secondary to other problems.,most
pests need a water source to survive.,all
hormones of men’s are mainly responsible for well-functioning of their performance.,some
medical researchers feel neural tube defects are result of a combination of environmental and genetic factors.,some
Mammals learn from their parents or other members of species and sometimes even from members of other species.,all
edible plants are vegetables,all
fungi that grow on wood grow on hardwood.,most
aphids overwinter as fertilized eggs attached to plant stems and branches.,most
applications involve tracking.,most
conventional diets call for severe calorie restrictions.,most
oils seem to help with weight loss.,some
wrinkles form as a result of uneven muscle development.,some
kulen develop a layer of mold on outside which further refines taste.,some
external monitors have buttons to adjust brightness.,all
wealth comes from adding value.,all
histone modications occur in free amino terminal histone tails rather than in globular core portions of nucleosome.,most
capsicum seeds need higher temperatures than tomatoes to germinate-in 230C to 280C range.,all
games have rules.,all
plants do not have stems; leaves arise directly from crown of plant.,some
salts contain same amount of sodium by weight.,all
relationships and connections change with time.,all
surgical incisions leave scars.,all
programming languages use header files.,some
peels work by removing a layer of sun damaged skin.,all
dung beetles roll dung in balls some distance from piles.,most
people think arranged marriage ties into forced marriage.,some
cats experience dental issues at one stage of their life.,all
organisms eventually become resistant to chemicals.,some
visitors require visas.,all
shorter trees help slow river flood water and stabilize river banks with their above-ground plant components in addition to their roots.,some
sports and activities of daily living require concomitant movement of various joints.,most
fitness people like to talk tough.,some
people have first world problems,some
macro bodies in planetary systems develop mean accelerating spin motion.,all
hunting crossbows have a scope or some sort of sights.,all
online store owners lack technical knowledge.,most
beer brewers even use roasted chicory to add flavour to stouts.,some
men experience pain due to a tight band of skin between shaft of penis and glans on underside of penis.,some
European research uses English for communication and publications.,most
Americans drive automatic,most
Herbal Medicines work by altering some of body functions; especially blood pressure.,all
bacteria reproduce exponentially every thirty minutes to an hour.,most
liquids other than water have calories in them.,all
premature deaths come from people using hard drugs.,most
food contains some sort of fat.,most
lead acid batteries consist of flat lead plates immersed in a pool of electrolyte.,all
venues require slats.,some
international airlines require lap babies to have (special) belts.,most
people try to get healthy hair by using hair care products and following hair care tips.,most
turtles are omnivores and preferences for different foods might change at different points in life cycle.,most
hernias in children are indirect (abdominal tissue has bulged down inguinal canal ).,most
hospitals have effective programs to prevent and control pathogens in hospitals.,some
houses have pitched roofs.,most
diabetics have problems about high blood glucose level at dawn.,some
young people don’t drink alcohol.,most
people have asthma symptoms only during hay fever season.,some
angel numbers emanate from divine realm.,all
diabetics undergo belly surgical treatment to lessen their frame weight.,some
children undergo a natural process of attachment to their parents as babies and then disconnected from their parents during toddlerhood through to adolescence.,all
current Alzheimer’s medications target amyloid plaques and haven’t prevailing in viably treating sickness.,most
cosmologists use term ‘Hubble volume’ to refer to volume of observable universe.,some
people have trauma attached to their given name.,some
ants sleep seven hours a day.,some
women have a height of more than 5.5.,some
community hospitals provide compression pump therapy.,some
human contractions of avian flu are a result of r handling dead infected birds or from contact with infected fluids.,most
monsters protect good men.,some
people do not want to eat when their mouth feels clean.,most
gastric surgery severely reduces stomach size (to size of a thumb for gastric bypass).,all
generalized epilepsies are idiopathic.,most
young and healthy individuals need modest water intake.,most
whole grains and leafy green vegetables are naturally rich in folic acids.,most
succulents require a lot of sunshine.,most
classes are workshops.,most
states require a minimum of a bachelor’s degree in Education to become a certified teacher.,all
teenage pregnancies are fathered by adult men🤡,most
protein powders contain a blend of proteins.,some
Jazz dancers need black jazz shoes.,all
proteins fold up tightly into one highly preferred conformation.,all
reading lights use batteries.,most
mining bees are good pollinators.,some
catholic high schools are prep schools.,most
Alpine Larches grow between 10 to 25 m (33 to 82 ft) tall and spread as much as 15 m (50 feet) wide.,most
Bosnian Muslims are ethnically Serb whom where forced to become Muslim.,most
metal detectors generate a certain amount of electronic noise internally.,all
dogs display aggression towards other dogs or other animals.,some
brands of honey have very little antibacterial properties.,some
stock market investment involves risk of losing some or all of money invested.,all
marriages have secrets.,most
life needs clean water.,all
national currencies are fiat currency.,all
animals are aggressive when protecting their territory or themselves.,all
women experience hair loss during their pregnancies.,some
people have issues.,some
men have feminine traits.,all
cats do not approach humans recklessly.,most
American workers experience financial stress.,most
efforts to control drunkenness essentially aim to restrict production and distribution of alcoholic beverages and combat consumption of alcohol by populace.,all
dogs have 5 toes on front paws and 4 on back.,most
species of hermit crabs have long and curved abdomens.,most
women love flowers.,most
infants die soon after birth.,most
animals have a somewhat natural camouflage.,most
essential oils bring about immediate improvement in symptoms of upper respiratory illnesses.,some
Asians are Chinese.,all
"Muslims are ""moderate""",all
actions have consequences.,all
breast implant revision surgeries require same recovery period as after breast augmentation.,most
peanut butter companies have tried to make peanut butter healthier by reducing amount of fat within their peanut butter.,some
people have poor time management skills.,most
people believe in miracles and or luck.,some
people struggle to ask for help or to own up to failures.,most
hetero women want a hetero man.,most
people are very sensitive to changes in energy around them.,some
toes—with exception of thumb—have claws.,all
dog life jackets have floatation pockets on sides and under belly to help dog stay about water.,some
people live paycheck to paycheck.,most
mechanized industries require oil for lubrication.,all
male bodybuilders produce high levels of testosterone naturally.,some
men are evil.,all
socio-economic variables display statistical significant correlation with measure of demographic changes.,all
candles contain a chemical called paraffin.,some
therapy lasers include 980 nm wavelength.,most
starfish are pink.,some
internal haemorrhoids respond to non-surgical treatment.,most
dogs have groups of spots close together.,most
proven antipsychotics are postsynaptic dopamine receptor blockers (dopamine antagonists).,all
kitchens have a table or a breakfast bar – a place to eat casual meals.,most
gardeners like to track and plant by moon phases.,some
molecular colloids in solution exhibit colligative properties.,all
rivers have reworked and built up large quantities of glacially derived sediments along their floodplains.,some
phones have self timers.,most
mammals have an endo-cannabinoid system.,all
recreational vehicles have propane tanks.,all
insurance policies do not cover dog bites.,most
modern zoos have a strong record of caring for their animals and provide more authentic natural environments.,most
UX designers do UI,most
stalls offer samples.,some
exergonic reactions require catalysis to overcome activation energy.,most
payment processors force businesses to buy terminals.,most
bank deposits are bank debts.,all
couples have problems with communication.,all
species of ivy family contain a toxin called triterpenoids.,all
people save money and store cash.,most
approved hazardous substances have rules for safe use and storage.,all
men with Parkinson's disease have very poor aim when urinating.,some
Buddhas are emanations of Shakyamuni Buddha.,all
cities lose people.,all
people avoid tests.,most
dogs are constant chewers.,some
whey protein powders actually consist of multiple types of whey protein.,some
people sleep during day and are awake and restless at night.,some
fat-free foods are still high in sugar and calories making them something to avoid.,some
cases of analgesic nephropathy occur in women.,most
criminals are poor people.,most
Bacillus species grow well on 5% sheep blood agar and other routine culture media.,all
teens abuse drugs or stimulant medications to increase school or athletic performance.,some
Latinas have dead straight hair.,some
organizations exist to fill a need.,most
people don’t like to think or talk about death.,most
volcanoes emit water vapor and other gases.,all
femlift procedures and treatments are effective for vaginal rejuvenation.,some
Courts have taxes.,some
antidepressants work by affecting levels of transmitters such as serotonin and noradrenaline in brain.,most
people like review courses.,some
companies and organizations have blogs.,most
organizations need electronic information governance.,all
animals get very nervous during travel.,some
animals change slowly over centuries - a process of gradual evolution.,most
moms love homemade things from their children.,all
automotive hand cleaners don’t require water.,most
kids 3 to 5 need about 10 hours of sleep.,most
x86 CPUs have a high clock frequency.,some
Japanese dog breeds make for a very good companion.,all
rodents leave behind front tracks with four toes and hind tracks with five toes.,all
elements have tendency to change in time and space.,all
high school students have a propensity to fill out an application for a food providers position.,most
men prefer younger women.,all
products have life cycles.,all
teenagers have some acne.,most
wild caught fish are contaminated with microplastics and forever chemicals.,all
people lack authority.,most
flea infections in humans are relatively benign.,most
mirrors are magic mirrors.,all
digital circuits use a binary system with two voltage ranges labeled “0” and “1”.,most
transgender surgeries require patient to have been on HRT/testosterone for at least a year prior.,most
Kangaroo paws are fairly drought tolerant.,all
women need clitoral stimulation in order to orgasm according to Walfish.,most
severe alcoholics require medical detox because of how critical withdrawal symptoms become.,most
humans have a life cap. telomeres determine that cap.,all
tobacco consumed in U.S. grows on large commercial farms and sold by a few corporations.,most
medications have skin irritation in their side effects.,some
Israeli butterflies fly at great speed (males) or hide with great success (females).,most
eye drops contain preservatives to prevent harmful bacteria from growing inside medicine bottle.,some
internet browsers perform differently when playing content and streaming services.,all
global deserts are subtropical in distribution.,most
bears communicate with body language.,all
women are bad at sex.,most
continents start and end with same letter.,all
diseases alter effectiveness of immune system.,some
intelligent people are anti-vax.,most
colors carry both a positive and a negative connotation.,all
nations have a reputation for lax quality control laws.,some
anti-oxidant enzymes require metal ions for their activity [38].,some
adults consider back pain a common part of life.,most
small cheese makers sell organic products.,most
faiths have issues.,all
"people stimulate theta waves as a means of ""accessing unconscious thoughts"".",some
NK T cells are either CD4+ or CD4− CD8− αβ T cells (double negative [DN]).,most
private schools are operated by churches.,most
cavities and periodontal disease begin between teeth.,most
sports are a combination of knowledge/strategy with some physical skills.,most
feminist hate men with passion.,most
birds use sticky spiders’ webs to hold their nests together.,some
esters are insolvable in water.,most
P/P rare autoimmune diseases are skin-blistering conditions.,all
insects require relatively high temperature and humidity levels to survive.,most
living organisms are well-designed systems of self-sustainability.,all
people today consider herbal remedies are a ruse to lure people in and purchase goods.,some
animals change their skins as a sign of growth.,some
reagents contain a degree of nitrite contamination.,all
paper crafts require folding and then cutting in shapes.,some
people have bad taste,most
moms gain confidence by breastfeeding in friendly settings as in company of other breastfeeding mothers.,some
real estate agents specialize with specific kinds of homes.,some
homeowners strive to cut down on recurring household expenses.,all
people think lizard men are real.,some
shrimp undergo cyclic molting periodically to shed and replace their exoskeletons.,all
people need medical detox.,some
hummingbird feeders have perches.,some
CO2 extinguishers utilize a non-conductive and non-corrosive clean extinguishing agent.,all
people take protein powders for maintaining a healthy balance in blood sugar levels in body.,some
jellyfish have millions of tiny stinging cells in their tentacles called nematocysts.,some
fish have two dorsal fins one directly behind other.,some
hernias occur in abdomen.,most
